,Highest Charting Position,Number of Times Charted,Weeks_Start,Weeks_End,Streams,Artist,Artist Followers,Song ID,Genre,General_Genre,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1325,66,3,2/28/20,3/6/20,"4,755,477",Bad Bunny,36177712,4MZSqgwlE71CWZ6qQ3gkKm,"['latin', 'reggaeton', 'trap latino']",latin,-7.589,0.229,0.602,0.152,80.353,157967,0.634,A#/Bb
1326,198,1,3/13/20,3/20/20,"4,752,181",Ufo361,1700759,7IxGslFZA5QhgXbUsDmcjf,"['german cloud rap', 'german hip hop']",rap,-12.761,0.133,0.516,0.0914,127.977,107446,0.158,G
1327,120,5,1/31/20,2/7/20,"4,730,891",Henrique & Juliano,13312073,3Ghyp3X5Ua9ypHnBIgOObI,"['sertanejo pop', 'sertanejo universitario']",pop,-5.937,0.0527,0.627,0.923,108.138,187986,0.7,C#/Db
1328,60,1,3/6/20,3/13/20,"10,484,727",Lil Uzi Vert,11821805,1jDbQz6tr52WgScCTXMnaN,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-6.672,0.419,0.00961,0.785,139.891,227474,0.276,C#/Db
1329,61,1,3/6/20,3/13/20,"10,396,969",Lil Uzi Vert,11821805,25B5fGr9K0VdZJiRFsnMO4,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-4.156,0.15,0.101,0.135,142.086,195058,0.792,F#/Gb
1330,64,1,3/6/20,3/13/20,"9,974,143",Lil Uzi Vert,11821805,2oHDJHNondITqbl8xZ9vPn,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-4.711,0.193,0.325,0.33,140.013,192705,0.716,G#/Ab
1331,68,1,3/6/20,3/13/20,"9,824,605",Lil Uzi Vert,11821805,3BYIzNZ3t9lRQCACXSMLrT,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-4.139,0.175,0.162,0.148,142.933,188800,0.562,A
1332,73,1,3/6/20,3/13/20,"9,533,898",Lil Uzi Vert,11821805,6YAxCn4juTWn5hWl2hzHGw,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-6.793,0.442,0.159,0.204,118.836,196639,0.306,G#/Ab
1333,93,1,3/6/20,3/13/20,"8,219,307",Lil Uzi Vert,11821805,46mT9NR7N9Zf5MolcrBgE3,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-4.055,0.0669,0.541,0.105,70.056,212821,0.574,C
1334,102,1,3/6/20,3/13/20,"7,828,045",Lil Uzi Vert,11821805,4wBcaYqLPm7EtDVoJQORU4,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-6.256,0.355,0.237,0.413,151.923,194452,0.608,B
1335,46,2,2/28/20,3/6/20,"7,240,117",Residente,878491,6gm12xlADJwiBbHIKBXzGW,['venezuelan hip hop'],hip hop,-9.326,0.126,0.435,0.196,90.471,457592,0.467,C
1336,122,1,3/6/20,3/13/20,"7,053,947",Lil Uzi Vert,11821805,7gHZGXSJzM29WA384suYY2,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-4.485,0.392,0.344,0.425,129.945,238425,0.549,C
1337,140,1,3/6/20,3/13/20,"6,224,412",Lil Uzi Vert,11821805,5KlPy74NOEAt8jC3FYURnQ,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-6.11,0.123,0.0326,0.315,156.035,181161,0.471,C#/Db
1338,34,3,2/21/20,2/28/20,"6,219,276",BTS,37151476,3IB5qOeMayvpOdHxYCL5tZ,"['k-pop', 'k-pop boy group']",pop,-4.397,0.0828,0.137,0.372,105.922,246816,0.386,A
1339,99,2,2/28/20,3/6/20,"6,041,127","Bad Bunny, Kendo Kaponi, Arcangel",36177712,0fgsKar6uBO08vzHXkTjWi,"['latin', 'reggaeton', 'trap latino']",latin,-5.749,0.0772,0.409,0.244,101.024,258280,0.528,F
1340,108,3,2/21/20,2/28/20,"6,020,508",Lauv,4442273,1eyek0KJEh2v5HQ9uQSybb,"['dance pop', 'electropop', 'pop', 'post-teen pop']",pop,-7.105,0.035,0.144,0.108,82.008,252337,0.143,G#/Ab
1341,65,2,2/28/20,3/6/20,"6,004,839",Lil Baby,7816213,7KSSdFCBHCfq4KPzz78ghk,"['atl hip hop', 'atl trap', 'rap', 'trap']",hip hop,-9.435,0.364,0.0611,0.0979,129.847,177314,0.341,C#/Db
1342,159,1,3/6/20,3/13/20,"5,846,484",Gunna,3337982,7GwYENSg87oERcW0Wacd6m,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",hip hop,-6.527,0.16,0.0991,0.0934,140.894,178097,0.343,C#/Db
